Rank,City,Population
231,Portage Lakes,"6,922"
232,Huron,"6,893"
233,Milford,"6,860"
234,Kirtland,"6,827"
235,Cortland,"6,809"
236,Union,"6,783"
237,Martins Ferry,"6,596"
238,Howland Center,"6,594"
239,Rittman,"6,551"
240,Rossford,"6,548"
241,Hillsboro,"6,527"
242,Covedale,"6,510"
243,Upper Sandusky,"6,481"
244,Moraine,"6,442"
245,Groesbeck,"6,393"
246,Belpre,"6,391"
247,Champion Heights,"6,366"
248,Pepper Pike,"6,333"
249,Jackson,"6,242"
250,Columbiana,"6,231"
251,Wheelersburg,"6,183"
252,Clyde,"6,174"
253,Ontario,"6,085"
254,Mount Healthy,"6,057"
255,Willard,"6,044"
256,Geneva,"5,955"
257,Port Clinton,"5,928"
258,Granville,"5,890"
259,The Village of Indian Hill,"5,887"
260,Brookville,"5,885"
261,Grafton,"5,878"
262,Fort Shawnee,"5,875"
263,Sunbury,"5,874"
264,Deer Park,"5,663"
265,Groveport,"5,645"
266,New Carlisle,"5,578"
267,Ada,"5,557"
268,Apple Valley,"5,520"
269,Waterville,"5,517"
270,Wellston,"5,508"
271,Germantown,"5,504"
272,Canal Fulton,"5,452"
273,Northwood,"5,420"
274,Carlisle,"5,399"
275,Delhi Hills,"5,330"
276,Uhrichsville,"5,327"
277,Mount Carmel,"5,184"
278,Nelsonville,"5,183"
279,Chardon,"5,179"
280,Turpin Hills,"5,170"
281,Mount Repose,"5,160"
282,Obetz,"5,104"
283,Munroe Falls,"5,077"
284,Johnstown,"5,065"
285,St. Clairsville,"5,012"
286,Amelia,"5,009"
287,Toronto,"4,959"
288,Wellington,"4,914"
289,Pleasant Run Farm,"4,839"
290,Whitehouse,"4,796"
291,West Milton,"4,795"
292,Summerside,"4,794"
293,Silverton,"4,750"
294,Miami Heights,"4,740"
295,Lexington,"4,680"
296,New Lexington,"4,662"
297,Huber Ridge,"4,635"
298,Montrose-Ghent,"4,624"
299,South Lebanon,"4,600"
300,Greenfield,"4,555"
301,Coldwater,"4,547"
302,Cherry Grove,"4,511"
303,Newton Falls,"4,510"
304,Ottawa Hills,"4,470"
305,East Palestine,"4,466"
306,Crestline,"4,432"
307,Plain City,"4,426"
308,West Jefferson,"4,411"
309,Reminderville,"4,390"
310,St. Bernard,"4,360"
311,New Burlington,"4,345"
312,Ottawa,"4,333"
313,Archbold,"4,320"
314,Park Layne,"4,306"
315,Pleasant Run,"4,299"
316,Ashville,"4,298"
317,Edgewood,"4,282"
318,Georgetown,"4,280"
319,Waverly,"4,270"
320,Sheffield,"4,268"
321,Lake Darby,"4,265"
322,Blanchester,"4,249"
323,Sebring,"4,222"
324,Cedarville,"4,130"
325,Bluffton,"4,080"
326,Bellaire,"4,064"
327,Barnesville,"4,039"
